hint_countries,segment_raw,frequency,top1_ror_id,top1_display,top1_score,top2_ror_id,top2_display,top2_score,top3_ror_id,top3_display,top3_score
NG,"Society for Family Health, Abuja, Nigeria",50,https://ror.org/017yczc37,Society for Family Health Nigeria,90.0,https://ror.org/03gn3dp35,Adamore (Nigeria),75.0,https://ror.org/02ypmq936,Caritas Nigeria,75.0
GH,"International Water Management Institute (IWMI), Accra, Ghana",49,https://ror.org/00dkekd57,"Institute of Economic Affairs, Ghana",68.9,https://ror.org/043e0fg15,Chartered Institute of Marketing Ghana,63.9,https://ror.org/016brqk63,University of Applied Management,61.3
KE,"CORDIO East Africa, Mombasa, Kenya",49,https://ror.org/00zy1mb15,CABI Kenya,82.4,https://ror.org/0157ysg68,ETC East Africa (Kenya),70.0,https://ror.org/042e5sj03,mHealth (Kenya),70.0
NG,"Research Department, Central Bank of Nigeria, Abuja, Nigeria",49,https://ror.org/00mgp8v69,Carter Center,76.9,https://ror.org/03gn3dp35,Adamore (Nigeria),75.0,https://ror.org/02ypmq936,Caritas Nigeria,75.0
ZA,"Cape Town, South Africa",45,https://ror.org/03ve8wd49,GS1 South Africa,89.7,https://ror.org/05vkc3y92,Omnia (South Africa),88.2,https://ror.org/01gqqqf26,Mylan (South Africa),87.5
KE,"World Agroforestry (ICRAF), Nairobi, Kenya",45,https://ror.org/01kmz4383,World Agroforestry Centre,89.4,https://ror.org/00zy1mb15,CABI Kenya,88.9,https://ror.org/003ad2905,Farm Africa Kenya,68.8
ET,"Addis Ababa, Ethiopia",45,https://ror.org/05cfwmz90,REACH ETHIOPIA,83.3,https://ror.org/011smmt78,GeoSAS (Ethiopia),80.0,https://ror.org/04zt8qr11,Addis Ababa City Administration Health Bureau,76.5
MA,"International Water Research Institute, Mohammed VI Polytechnic University, Lot 660, Hay Moulay Rachid, Ben Guerir, 43150, Morocco",43,https://ror.org/03xc55g68,Université Mohammed VI Polytechnique,77.8,https://ror.org/022dg8423,Danone (Morocco),72.7,https://ror.org/00s1ymf55,ACRI-EC (Morocco),69.6
ZA,"North West University, South Africa",43,https://ror.org/010f1sq29,North-West University,95.2,https://ror.org/048cwvf49,University of South Africa,93.9,https://ror.org/03ve8wd49,GS1 South Africa,89.7
ET,"Amhara Public Health Institute, Bahir Dar, Ethiopia",43,https://ror.org/00kdxwe14,Sidama Public Health Institute,90.0,https://ror.org/05cfwmz90,REACH ETHIOPIA,83.3,https://ror.org/00xytbp33,Ethiopian Public Health Institute,82.5
TN,"Department of Civil Engineering, High Institute of Technological Studies, Mrezgua University Campus, Nabeul, 8000, Tunisia",41,https://ror.org/02a6s9190,ENSIT,80.0,https://ror.org/0503ejf32,Manouba University,77.8,https://ror.org/02tnr6p29,Roche (Tunisia),76.2
KE,"Kisumu County Department of Health, Kisumu, Kenya",39,https://ror.org/00zy1mb15,CABI Kenya,75.0,https://ror.org/02353ej91,LVCT Health,72.7,https://ror.org/03mngpd27,Health Strat (Kenya),72.2
KE,"Health Economics Research Unit, KEMRI-Wellcome Trust Research Programme, Nairobi, Kenya",38,https://ror.org/00zy1mb15,CABI Kenya,88.9,https://ror.org/042e5sj03,mHealth (Kenya),76.2,https://ror.org/02353ej91,LVCT Health,70.6
UG,"MRC/UVRI and LSHTM Uganda Research Unit, Entebbe, Uganda",35,https://ror.org/023pdrd93,ZOA (Uganda),82.4,https://ror.org/03v9c4d77,MTN (Uganda),82.4,https://ror.org/030v6tx56,THETA Uganda,80.0
MW,"UNC Project-Malawi, Lilongwe, Malawi",34,https://ror.org/03k6h6357,Museum of Malawi,66.7,https://ror.org/02b90d314,Malawi Government,58.8,https://ror.org/02x9c2945,Alliance One Tobacco (Malawi),58.3
NG,"Central Bank of Nigeria, Abuja, Nigeria",34,https://ror.org/03gn3dp35,Adamore (Nigeria),75.0,https://ror.org/02ypmq936,Caritas Nigeria,75.0,https://ror.org/01h8ejk57,National Library of Nigeria,72.0
EG,"Department of Protein Research, Research and Academic Institution, Alexandria, Egypt",33,https://ror.org/04zpt4h82,IBM (Egypt),82.4,https://ror.org/01cch8797,Mobica (Egypt),80.0,https://ror.org/04se07z51,Misc (Egypt),77.8
NG,"Nigeria Field Epidemiology and Laboratory Training Program, Abuja, Nigeria",32,https://ror.org/00jr1sd21,African Field Epidemiology Network,76.5,https://ror.org/03gn3dp35,Adamore (Nigeria),75.0,https://ror.org/02ypmq936,Caritas Nigeria,75.0
MA,"Ministry of Health and Social Protection, Higher Institute of Nursing Professions and Health Techniques, Fez, Morocco",31,https://ror.org/022dg8423,Danone (Morocco),75.0,https://ror.org/00s1ymf55,ACRI-EC (Morocco),72.0,https://ror.org/025rbpt60,Eurofilet (Morocco),71.4
MA,"Laboratory of Materials and Environment, Faculty of Sciences, Ibn Zohr University, Agadir, Morocco",31,https://ror.org/00s1ymf55,ACRI-EC (Morocco),75.0,https://ror.org/022dg8423,Danone (Morocco),72.7,https://ror.org/025rbpt60,Eurofilet (Morocco),69.2
EG,"Mechanical Power Engineering Department, Faculty of Engineering, Horus University, New-Damietta, Egypt",30,https://ror.org/00a5t5d16,Senghor University,83.3,https://ror.org/02nzd5081,Arish University,81.2,https://ror.org/035hzws46,Luxor University,81.2
BW,"Botswana-UPenn Partnership, Gaborone, Botswana",30,https://ror.org/01qxx5k95,Botswana Open University,68.1,https://ror.org/01encsj80,University of Botswana,66.7,https://ror.org/00tet8b29,The Botswana Society,66.7
SD,"Molecular Biology Unit, Sirius Training and Research Centre, Khartoum, Sudan",29,https://ror.org/00zrgcv18,Animal Production Research Center,63.6,https://ror.org/02n4khb55,Open University of Sudan,55.0,https://ror.org/02sjqwx48,One Percent Research Initiative,54.8
NG,"APIN Public Health Initiatives, Abuja, Nigeria",28,https://ror.org/02n5zea08,Friends for Global Health Initiative Nigeria,77.8,https://ror.org/03gn3dp35,Adamore (Nigeria),75.0,https://ror.org/02ypmq936,Caritas Nigeria,75.0
GH,"Accra, Ghana",28,https://ror.org/00cn65j92,Bomarts Farms (Ghana),76.2,https://ror.org/00dkekd57,"Institute of Economic Affairs, Ghana",76.2,https://ror.org/03ajsbp04,Accra Institute of Technology,73.7
ZA,"University of Witwatersrand, South Africa",28,https://ror.org/03rp50x72,University of the Witwatersrand,93.1,https://ror.org/03ve8wd49,GS1 South Africa,89.7,https://ror.org/04bg5zd67,Sandvik (South Africa),89.5
ZM,"Macha Research Trust, Choma, Zambia",28,https://ror.org/04p54bb05,Zambart,76.9,https://ror.org/03gh19d69,University of Zambia,66.7,https://ror.org/02vsy6m37,Centre for Infectious Disease Research in Zambia,65.5
KE,"Independent Consultant, Nairobi, Kenya",27,https://ror.org/00zy1mb15,CABI Kenya,88.9,https://ror.org/0157ysg68,ETC East Africa (Kenya),66.7,https://ror.org/003ad2905,Farm Africa Kenya,64.7
MA,"National School of Public Health, Rabat, Morocco",27,https://ror.org/00n7n3773,National School of Architecture,76.9,https://ror.org/04dkqr510,Assystem (Morocco),76.9,https://ror.org/022dg8423,Danone (Morocco),75.0
KE,"CABI, Nairobi, Kenya",27,https://ror.org/00zy1mb15,CABI Kenya,88.9,https://ror.org/02szmkw66,Child Aid Organization Kenya,66.7,https://ror.org/00cw00f88,Media Council of Kenya,66.7
MA,"Ibn Tofail University, Kenitra, Morocco",27,https://ror.org/022dg8423,Danone (Morocco),78.3,https://ror.org/00s1ymf55,ACRI-EC (Morocco),75.0,https://ror.org/04dkqr510,Assystem (Morocco),72.0
EG,"University of Kafrelsheikh, Faculty of Agriculture, Department of Soil and Water Sciences, Kafr El-Sheikh, 33 516, Egypt",27,https://ror.org/04zpt4h82,IBM (Egypt),80.0,https://ror.org/00ndhrx30,Suez University,80.0,https://ror.org/03cg7cp61,Nile University,80.0
NG,"Blossom Specialist Medical Center, Ibadan, Nigeria",26,https://ror.org/03gn3dp35,Adamore (Nigeria),81.5,https://ror.org/02msz7b29,Zankli Medical Centre,81.0,https://ror.org/02wf9yg07,Chidicon Medical Center,78.3
KE,"Jhpiego, Nairobi, Kenya",26,https://ror.org/00zy1mb15,CABI Kenya,88.9,https://ror.org/049pxhr81,The Nairobi Women’s Hospital,68.4,https://ror.org/003ad2905,Farm Africa Kenya,64.5
ZW,"International Maize and Wheat Improvement Center (CIMMYT), Harare, Zimbabwe",26,https://ror.org/0508qa918,Syngenta (Zimbabwe),74.1,https://ror.org/05e0nrg39,Africare,62.5,https://ror.org/04ze6rb18,University of Zimbabwe,62.5
KE,"Health Economics Research Unit, KEMRI Wellcome Trust Research Programme, Nairobi, Kenya",26,https://ror.org/00zy1mb15,CABI Kenya,88.9,https://ror.org/042e5sj03,mHealth (Kenya),76.2,https://ror.org/02353ej91,LVCT Health,70.6
MZ,"National Institute of Health, Maputo, Mozambique",26,https://ror.org/057ec1n13,Radio Moçambique,78.6,https://ror.org/01t3f4t10,ActionAid,77.8,https://ror.org/059f2k568,Ministry of Health,72.2
MG,"Madagascar Health and Environmental Research (MAHERY), Maroantsetra, Madagascar",26,https://ror.org/03fkjvy27,Institut Pasteur de Madagascar,66.7,https://ror.org/040yw9w41,Madagasikara Voakajy,64.7,https://ror.org/022armd05,Madagascar Biodiversity Partnership,59.0
ET,"Department of Medicine, Adama General Hospital and Medical College, Adama, Ethiopia",26,https://ror.org/05cfwmz90,REACH ETHIOPIA,83.3,https://ror.org/04p8ta418,Adama Hospital Medical College,83.3,https://ror.org/011smmt78,GeoSAS (Ethiopia),80.0
NG,"Nigeria Field Epidemiology and Laboratory Training Programme, Abuja, Nigeria",26,https://ror.org/00jr1sd21,African Field Epidemiology Network,76.5,https://ror.org/03gn3dp35,Adamore (Nigeria),75.0,https://ror.org/02ypmq936,Caritas Nigeria,75.0
KE,"Health Services Unit, KEMRI-Wellcome Trust Research Programme, Nairobi, Kenya",26,https://ror.org/00zy1mb15,CABI Kenya,88.9,https://ror.org/042e5sj03,mHealth (Kenya),72.7,https://ror.org/02353ej91,LVCT Health,70.6
EG,"Mansoura Faculty of Medicine, Mansoura, Egypt",25,https://ror.org/04zpt4h82,IBM (Egypt),80.0,https://ror.org/03nh6bz87,Vacsera (Egypt),76.9,https://ror.org/04se07z51,Misc (Egypt),75.0
ZM,"Population Council, Lusaka, Zambia",25,https://ror.org/04p54bb05,Zambart,76.9,https://ror.org/03t8jp775,Examinations Council of Zambia,73.7,https://ror.org/05s5km770,Churches Health Assoication Of Zambia,60.0
MW,"University of North Carolina Project, Lilongwe, Malawi",25,https://ror.org/04vtx5s55,University of Malawi,82.4,https://ror.org/008ej3804,Mzuzu University,76.9,https://ror.org/02fqsc924,University of Livingstonia,76.2
ET,"HaSET Maternal and Child Health Research Program, Shewarobit Field Office, Shewarobit, Ethiopia",25,https://ror.org/05cfwmz90,REACH ETHIOPIA,78.3,https://ror.org/011smmt78,GeoSAS (Ethiopia),75.0,https://ror.org/03y6ab910,Farm Africa Ethiopia,68.6
NG,"Department of Economics, National Open University, Benin City, Nigeria",25,https://ror.org/02avtbn34,Bowen University,87.5,https://ror.org/020mn7317,Miva Open University,85.0,https://ror.org/04mznrw11,University of Benin,84.2
KE,"Africa Mental Health Research and Training Foundation, Nairobi, Kenya",24,https://ror.org/00zy1mb15,CABI Kenya,88.9,https://ror.org/042ywnb68,Penda Health,83.3,https://ror.org/03bjx6g30,Africa Mental Health Foundation,80.8
MA,"Mohammed VI Polytechnic University, Ben Guerir, Morocco",24,https://ror.org/00s1ymf55,ACRI-EC (Morocco),76.9,https://ror.org/025rbpt60,Eurofilet (Morocco),75.9,https://ror.org/03xc55g68,Université Mohammed VI Polytechnique,75.9
CM,"Research Department, Association of Future African Neurosurgeons, Yaounde, Cameroon",24,https://ror.org/03dj0nw15,WWF Cameroon,85.7,https://ror.org/02g4e1v18,Metabiota (Cameroon),71.4,https://ror.org/01fxrnx65,United Nations Children's Fund Cameroon,62.0
MW,"University of North Carolina Project-Malawi, Lilongwe, Malawi",24,https://ror.org/04vtx5s55,University of Malawi,82.4,https://ror.org/008ej3804,Mzuzu University,76.9,https://ror.org/02fqsc924,University of Livingstonia,76.2
CM,"Centre for Development of Best Practices in Health (CDBPH), Yaoundé Central Hospital, Yaoundé, Cameroon",24,https://ror.org/00gws9676,Yaoundé General Hospital,91.7,https://ror.org/00rx1ga86,Central Hospital of Yaoundé,88.9,https://ror.org/03dj0nw15,WWF Cameroon,85.7
MA,"Laboratory of Applied Chemistry and Environment, Faculty of Sciences, Ibn Zohr University, Agadir, 80000, Morocco",24,https://ror.org/022dg8423,Danone (Morocco),72.7,https://ror.org/00s1ymf55,ACRI-EC (Morocco),69.6,https://ror.org/04dkqr510,Assystem (Morocco),66.7
GH,"Department of Planning, Faculty of Built Environment, College of Art and Built Environment, KNUST, Kumasi, Ghana",24,https://ror.org/03rfnpw37,St. Vincent College of Education,74.2,https://ror.org/02zsyv822,Parliament of Ghana,70.3,https://ror.org/058cpk191,Komenda College of Education,67.9
CM,"Faculty of Medicine and Biomedical Sciences, University of Yaounde I, Yaounde, Cameroon",24,https://ror.org/04cdn6p56,ICT University,85.7,https://ror.org/03dj0nw15,WWF Cameroon,85.7,https://ror.org/051sa4h84,University of Maroua,85.0
SD,"Bio-Statistical and Molecular Biology Department, Sirius Training and Research Centre, Khartoum, Sudan",24,https://ror.org/00zrgcv18,Animal Production Research Center,63.6,https://ror.org/02n4khb55,Open University of Sudan,55.0,https://ror.org/02sjqwx48,One Percent Research Initiative,54.8
MW,"Nyanja Health Research Institute, Salima, Malawi",23,https://ror.org/004rh7a97,Public Health Institute of Malawi,67.8,https://ror.org/035y1v638,Baobab Health Trust,66.7,https://ror.org/02ew7mv78,MwAPATA Institute,64.7
EG,"Egyptian Propylene and Polypropylene Company (EPPC), Port Said, Egypt",23,https://ror.org/04zpt4h82,IBM (Egypt),82.4,https://ror.org/04se07z51,Misc (Egypt),77.8,https://ror.org/0504hx432,Egyptian Museum,75.0
ZW,"ICAP at Columbia University, Harare, Zimbabwe",23,https://ror.org/00c9gh315,Solusi University,82.4,https://ror.org/04dj2za52,Africa University,76.5,https://ror.org/04k6va493,Catholic University of Zimbabwe,74.6
CM,"Douala General Hospital, Douala, Cameroon",23,https://ror.org/03dj0nw15,WWF Cameroon,85.7,https://ror.org/00gws9676,Yaoundé General Hospital,80.9,https://ror.org/02g4e1v18,Metabiota (Cameroon),73.3
TZ,"Department of Epidemiology and Biostatistics, Institute of Public Health, Kilimanjaro Christian Medical University College, Moshi, Tanzania",23,https://ror.org/04knhza04,Kilimanjaro Christian Medical Centre,88.9,https://ror.org/001pprn90,WWF Tanzania,85.7,https://ror.org/040qff210,Jordan University College,84.0
UG,"MRC/UVRI Uganda Research Unit on AIDS, Entebbe, Uganda",23,https://ror.org/023pdrd93,ZOA (Uganda),82.4,https://ror.org/03v9c4d77,MTN (Uganda),82.4,https://ror.org/030v6tx56,THETA Uganda,80.0
MW,"UNC Project Malawi, Lilongwe, Malawi",23,https://ror.org/03k6h6357,Museum of Malawi,66.7,https://ror.org/02b90d314,Malawi Government,58.8,https://ror.org/02x9c2945,Alliance One Tobacco (Malawi),58.3
KE,"Kenya Meteorological Department, Nairobi, Kenya",23,https://ror.org/00zy1mb15,CABI Kenya,88.9,https://ror.org/0157ysg68,ETC East Africa (Kenya),65.0,https://ror.org/03a1hhg18,Government of Kenya,64.9
ET,"International Center for Agricultural Research in the Dry Areas (ICARDA), Addis Ababa, Ethiopia",23,https://ror.org/05cfwmz90,REACH ETHIOPIA,83.3,https://ror.org/011smmt78,GeoSAS (Ethiopia),80.0,https://ror.org/059vc0x72,Holetta Agricultural Research Center,77.8
ZA,"Oceanographic Research Institute, PO Box 10712, Marine Parade, Durban, 4056, South Africa",23,https://ror.org/03ve8wd49,GS1 South Africa,89.7,https://ror.org/02a4gss26,Sasol (South Africa),83.9,https://ror.org/03wb61205,Sappi (South Africa),83.9
ZW,"CIRAD, UPR AIDA, Harare, Zimbabwe",23,https://ror.org/0508qa918,Syngenta (Zimbabwe),74.1,https://ror.org/05e0nrg39,Africare,62.5,https://ror.org/04ze6rb18,University of Zimbabwe,62.5
CI,"African Development Bank, Abidjan, Cote d'Ivoire",23,https://ror.org/05gqz0k77,African Development Bank Group,90.9,https://ror.org/03fcb4d35,Pigier Côte d'Ivoire,76.5,https://ror.org/03navfe48,ANADER,66.7
UG,"Global Health Uganda, Kampala, Uganda",22,https://ror.org/023pdrd93,ZOA (Uganda),88.9,https://ror.org/03v9c4d77,MTN (Uganda),82.4,https://ror.org/030v6tx56,THETA Uganda,80.0
MZ,"Faculdade de Medicina, Universidade Eduardo Mondlane, Maputo, Mozambique",22,https://ror.org/035630h07,Universidade Save,82.4,https://ror.org/057ec1n13,Radio Moçambique,78.6,https://ror.org/05n8n9378,Eduardo Mondlane University,70.4
TN,"International Association of Water Resources in the Southern Mediterranean Basin, Gafsa, Tunisia",22,https://ror.org/05ya3va27,Sarost (Tunisia),83.3,https://ror.org/02tnr6p29,Roche (Tunisia),76.2,https://ror.org/03c6tcr26,Graphtech (Tunisia),69.2
MW,"Partners in Hope, Lilongwe, Malawi",22,https://ror.org/03k6h6357,Museum of Malawi,66.7,https://ror.org/04gm1wq32,National Commission for Science and Technology Malawi,59.6,https://ror.org/04vtx5s55,University of Malawi,58.1
MA,"International Water Research Institute, Mohammed VI Polytechnic University, Ben Guerir, Morocco",22,https://ror.org/03xc55g68,Université Mohammed VI Polytechnique,77.8,https://ror.org/00s1ymf55,ACRI-EC (Morocco),76.9,https://ror.org/025rbpt60,Eurofilet (Morocco),75.9
UG,"MRC/UVRI & LSHTM Uganda Research Unit, Entebbe, Uganda",22,https://ror.org/023pdrd93,ZOA (Uganda),82.4,https://ror.org/03v9c4d77,MTN (Uganda),82.4,https://ror.org/030v6tx56,THETA Uganda,80.0
MW,"Malawi-Liverpool-Wellcome Programme, Blantyre, Malawi",22,https://ror.org/03tebt685,Malawi-Liverpool-Wellcome Trust Clinical Research Programme,72.1,https://ror.org/03k6h6357,Museum of Malawi,66.7,https://ror.org/04vtx5s55,University of Malawi,62.5
DZ,"Department of Physics, Faculty of Sciences, University 20 Août 1955, Skikda, Algeria",22,https://ror.org/01h4ne021,NEAL (Algeria),85.7,https://ror.org/04hrbe508,University of Batna 1,76.2,https://ror.org/02yvp6477,University of Batna 2,71.4
UG,"Kampala, Uganda",22,https://ror.org/023pdrd93,ZOA (Uganda),88.9,https://ror.org/014khff20,Kampala University,83.3,https://ror.org/03v9c4d77,MTN (Uganda),82.4
UG,"Uganda Public Health Fellowship Program, Kampala, Uganda",22,https://ror.org/023pdrd93,ZOA (Uganda),88.9,https://ror.org/03v9c4d77,MTN (Uganda),82.4,https://ror.org/030v6tx56,THETA Uganda,80.0
NG,"Abuja, Nigeria",22,https://ror.org/02ypmq936,Caritas Nigeria,78.3,https://ror.org/03cmxf662,Solina Group (Nigeria),78.3,https://ror.org/00tgp6v56,Center for Clinical Care and Research in Nigeria,76.2
UG,"Uganda National Institute of Public Health, Kampala, Uganda",22,https://ror.org/023pdrd93,ZOA (Uganda),88.9,https://ror.org/03v9c4d77,MTN (Uganda),82.4,https://ror.org/030v6tx56,THETA Uganda,80.0
ET,"MERQ Consultancy PLC, Addis Ababa, Ethiopia",22,https://ror.org/05cfwmz90,REACH ETHIOPIA,83.3,https://ror.org/011smmt78,GeoSAS (Ethiopia),80.0,https://ror.org/04mraae85,SOS Sahel Ethiopia,71.4
GH,"REMS Consultancy Services Limited, Western Region, Sekondi-Takoradi, Ghana",22,https://ror.org/00cn65j92,Bomarts Farms (Ghana),60.0,https://ror.org/02zsyv822,Parliament of Ghana,57.1,https://ror.org/00vxrhz27,Dataking Consulting (Ghana),57.1
TZ,"Institute of Public Health, Kilimanjaro Christian Medical University College, Moshi, Tanzania",21,https://ror.org/04knhza04,Kilimanjaro Christian Medical Centre,88.9,https://ror.org/001pprn90,WWF Tanzania,85.7,https://ror.org/040qff210,Jordan University College,84.0
GH,"Department of Children, Ministry of Gender, Children and Social Protection, Accra, Ghana",21,https://ror.org/05c7h4935,Ministry of Health,72.2,https://ror.org/02zsyv822,Parliament of Ghana,68.6,https://ror.org/03m8km719,Environmental Protection Agency,64.5
UG,"Butabika National Referral and Mental Health Hospital, Kampala, Uganda",21,https://ror.org/023pdrd93,ZOA (Uganda),88.9,https://ror.org/03v9c4d77,MTN (Uganda),82.4,https://ror.org/030v6tx56,THETA Uganda,80.0
CM,"Department of Biochemistry, Faculty of Science, University of Dschang, Dschang, Cameroon",21,https://ror.org/04cdn6p56,ICT University,85.7,https://ror.org/03dj0nw15,WWF Cameroon,85.7,https://ror.org/0566t4z20,Université de Dschang,85.7
ZW,"Newlands Clinic, Harare, Zimbabwe",21,https://ror.org/0508qa918,Syngenta (Zimbabwe),74.1,https://ror.org/05e0nrg39,Africare,62.5,https://ror.org/04ze6rb18,University of Zimbabwe,62.5
ZA,"TB HIV Care, Cape Town, South Africa",21,https://ror.org/03ve8wd49,GS1 South Africa,89.7,https://ror.org/05vkc3y92,Omnia (South Africa),88.2,https://ror.org/01gqqqf26,Mylan (South Africa),87.5
DZ,"Laboratory of Biomaterials and Transport Phenomena, University of Medea, Medea, 26000, Algeria",21,https://ror.org/03g41pw14,University of Blida,84.2,https://ror.org/04hbgcp92,University of Blida 2,81.0,https://ror.org/02571vj15,University of Skikda,80.0
NA,"Department of Medicine, Northlands Medical Group, Omuthiya, Namibia",21,https://ror.org/03tf2hn88,Potentia (Namibia),75.9,https://ror.org/016xje988,University of Namibia,62.9,https://ror.org/025qwfz43,Geological Survey of Namibia,58.2
ZA,"Oceanographic Research Institute (ORI), Durban, South Africa",21,https://ror.org/01gqqqf26,Mylan (South Africa),90.9,https://ror.org/03ve8wd49,GS1 South Africa,89.7,https://ror.org/05vkc3y92,Omnia (South Africa),87.5
GM,"Epidemiology and Disease Control Unit, Ministry of Health, Kotu, Gambia",20,https://ror.org/04ffdar46,Ministry of Health and Social Welfare,65.7,https://ror.org/038tkkk06,University of the Gambia,62.5,https://ror.org/046f6ab23,ActionAid The Gambia,61.1
NG,"Department of Internal Medicine, Asokoro District Hospital, Abuja, Nigeria",20,https://ror.org/03gn3dp35,Adamore (Nigeria),75.0,https://ror.org/02ypmq936,Caritas Nigeria,75.0,https://ror.org/014j33z40,National Hospital Abuja,73.9
ET,"International Crops Research Institute for the Semi-Arid Tropics (ICRISAT), Addis Ababa, Ethiopia",20,https://ror.org/00v2fj703,International Livestock Research Institute,85.0,https://ror.org/05cfwmz90,REACH ETHIOPIA,83.3,https://ror.org/011smmt78,GeoSAS (Ethiopia),80.0
MW,"International Institute of Tropical Agriculture (IITA), Lilongwe, Malawi",20,https://ror.org/02ew7mv78,MwAPATA Institute,76.5,https://ror.org/00jqwr190,Dignitas International,74.3,https://ror.org/03k6h6357,Museum of Malawi,66.7
DZ,"Department of Physics, Faculty of Sciences, University 20 Août 1955, Skikda, 21000, Algeria",20,https://ror.org/01h4ne021,NEAL (Algeria),80.0,https://ror.org/04hrbe508,University of Batna 1,76.2,https://ror.org/02yvp6477,University of Batna 2,71.4
MW,"University of North Carolina Project Malawi, Lilongwe, Malawi",20,https://ror.org/04vtx5s55,University of Malawi,82.4,https://ror.org/008ej3804,Mzuzu University,76.9,https://ror.org/02fqsc924,University of Livingstonia,76.2
BF,"Institut Africain de Santé Publique, Ouagadougou, Burkina Faso",20,https://ror.org/047394f17,Institut National de Santé Publique du Burkina Faso,76.8,https://ror.org/029yqf282,Institut Polytechnique Africain,70.8,https://ror.org/0404w7c41,AFRICSanté,70.0
UG,"International Center for Child Health and Development, Masaka, Uganda",20,https://ror.org/023pdrd93,ZOA (Uganda),88.9,https://ror.org/03mkfqw37,International Potato Center,85.1,https://ror.org/03v9c4d77,MTN (Uganda),82.4
TN,"International Center for Agricultural Research in the Dry Areas (ICARDA), Tunis, Tunisia",20,https://ror.org/03f8nwf60,Solar23 Tunisie (Tunisia),78.9,https://ror.org/05ya3va27,Sarost (Tunisia),78.3,https://ror.org/02tnr6p29,Roche (Tunisia),76.2
ZM,"Lusaka, Zambia",20,https://ror.org/04p54bb05,Zambart,76.9,https://ror.org/016ayye29,Lusaka Apex Medical University,76.2,https://ror.org/02vsy6m37,Centre for Infectious Disease Research in Zambia,70.0
NG,"Department of Mathematics, Kano University of Science and Technology, Wudil, Nigeria",20,https://ror.org/009kx9832,University of Jos,88.2,https://ror.org/01xmrwb67,Lagos State University of Science and Technology,85.4,https://ror.org/04mznrw11,University of Benin,84.2
GH,"Department of Planning, College of Art and Built Environment, KNUST, Kumasi, Ghana",20,https://ror.org/04cw8gk81,National Banking College,70.8,https://ror.org/02zsyv822,Parliament of Ghana,70.3,https://ror.org/03g8bss77,St. Francis College of Education,67.7
